path,true_label,true_class,predicted_label,predicted_class,tumor_probability,prediction_confidence,error_type
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4667.jpg,0,Normal,0,Normal,0.009334690868854523,0.9906653091311455,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3944.jpg,0,Normal,0,Normal,0.029536131769418716,0.9704638682305813,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4323.jpg,0,Normal,0,Normal,7.975427433848381e-05,0.9999202457256615,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4418.jpg,1,Tumor,1,Tumor,0.9999934434890747,0.9999934434890747,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4509.jpg,0,Normal,0,Normal,3.498643491184339e-05,0.9999650135650882,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1214.jpg,0,Normal,1,Tumor,0.6708940863609314,0.6708940863609314,false_positive
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3759.jpg,1,Tumor,1,Tumor,0.9997733235359192,0.9997733235359192,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1887.jpg,1,Tumor,1,Tumor,0.9999384880065918,0.9999384880065918,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4114.jpg,1,Tumor,1,Tumor,0.9999911785125732,0.9999911785125732,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4687.jpg,1,Tumor,1,Tumor,0.9831691980361938,0.9831691980361938,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3454.jpg,1,Tumor,1,Tumor,0.9831486940383911,0.9831486940383911,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2254.jpg,0,Normal,0,Normal,0.00092463125474751,0.9990753687452525,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1873.jpg,1,Tumor,1,Tumor,0.9999426603317261,0.9999426603317261,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0554.jpg,1,Tumor,1,Tumor,0.9882063269615173,0.9882063269615173,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1674.jpg,0,Normal,0,Normal,0.00045448917080648243,0.9995455108291935,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1898.jpg,1,Tumor,1,Tumor,0.9999192953109741,0.9999192953109741,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1144.jpg,0,Normal,0,Normal,0.0001557882351335138,0.9998442117648665,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2963.jpg,0,Normal,0,Normal,4.5116048568161204e-05,0.9999548839514318,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2981.jpg,1,Tumor,1,Tumor,0.9902380108833313,0.9902380108833313,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0386.jpg,0,Normal,0,Normal,0.00026462788810022175,0.9997353721118998,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4486.jpg,1,Tumor,1,Tumor,0.9981786012649536,0.9981786012649536,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1159.jpg,1,Tumor,1,Tumor,0.9977326393127441,0.9977326393127441,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1132.jpg,1,Tumor,1,Tumor,0.9999934434890747,0.9999934434890747,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4341.jpg,1,Tumor,1,Tumor,0.9956205487251282,0.9956205487251282,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3746.jpg,1,Tumor,1,Tumor,0.8437331318855286,0.8437331318855286,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0807.jpg,0,Normal,0,Normal,0.0003770546172745526,0.9996229453827254,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3283.jpg,0,Normal,0,Normal,2.2954787709750235e-05,0.9999770452122902,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2549.jpg,0,Normal,0,Normal,0.015075360424816608,0.9849246395751834,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0734.jpg,1,Tumor,1,Tumor,0.9996213912963867,0.9996213912963867,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4188.jpg,1,Tumor,1,Tumor,0.9988279938697815,0.9988279938697815,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2991.jpg,1,Tumor,1,Tumor,0.9983483552932739,0.9983483552932739,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0104.jpg,0,Normal,0,Normal,0.00028197222854942083,0.9997180277714506,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3250.jpg,0,Normal,0,Normal,0.002080098260194063,0.9979199017398059,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3340.jpg,0,Normal,0,Normal,0.0011951228370890021,0.998804877162911,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0917.jpg,0,Normal,0,Normal,0.003928682301193476,0.9960713176988065,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1342.jpg,0,Normal,0,Normal,5.1322845138201956e-06,0.9999948677154862,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4258.jpg,1,Tumor,1,Tumor,0.9573962092399597,0.9573962092399597,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3792.jpg,1,Tumor,1,Tumor,0.9996057152748108,0.9996057152748108,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3521.jpg,0,Normal,0,Normal,0.0027330508455634117,0.9972669491544366,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1447.jpg,1,Tumor,1,Tumor,0.9992407560348511,0.9992407560348511,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3541.jpg,1,Tumor,1,Tumor,0.9998230338096619,0.9998230338096619,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3346.jpg,0,Normal,0,Normal,0.0008111135102808475,0.9991888864897192,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2226.jpg,0,Normal,0,Normal,0.0002309854608029127,0.9997690145391971,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1490.jpg,1,Tumor,1,Tumor,0.9999911785125732,0.9999911785125732,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4175.jpg,0,Normal,0,Normal,8.98351936484687e-05,0.9999101648063515,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0421.jpg,0,Normal,0,Normal,0.004942324012517929,0.9950576759874821,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1112.jpg,0,Normal,0,Normal,4.300211003283039e-05,0.9999569978899672,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4418.jpg,0,Normal,0,Normal,1.2142223567934707e-05,0.9999878577764321,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1983.jpg,1,Tumor,1,Tumor,0.9999282360076904,0.9999282360076904,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0373.jpg,0,Normal,0,Normal,0.00014591279614251107,0.9998540872038575,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2272.jpg,0,Normal,0,Normal,0.0012580336770042777,0.9987419663229957,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4216.jpg,1,Tumor,1,Tumor,0.9983941912651062,0.9983941912651062,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3810.jpg,0,Normal,0,Normal,0.00011159794667037204,0.9998884020533296,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0223.jpg,0,Normal,0,Normal,0.01366299670189619,0.9863370032981038,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4455.jpg,1,Tumor,1,Tumor,0.9999885559082031,0.9999885559082031,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2241.jpg,1,Tumor,1,Tumor,0.99769127368927,0.99769127368927,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1998.jpg,0,Normal,0,Normal,0.017323829233646393,0.9826761707663536,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0311.jpg,1,Tumor,1,Tumor,0.9999462366104126,0.9999462366104126,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4182.jpg,1,Tumor,1,Tumor,0.9958802461624146,0.9958802461624146,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0840.jpg,0,Normal,0,Normal,0.004379183519631624,0.9956208164803684,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2570.jpg,0,Normal,0,Normal,0.0001939659268828109,0.9998060340731172,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3961.jpg,1,Tumor,1,Tumor,0.9999480247497559,0.9999480247497559,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1332.jpg,0,Normal,0,Normal,3.3306969271507114e-06,0.9999966693030728,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0030.jpg,0,Normal,0,Normal,0.0003763821441680193,0.999623617855832,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0194.jpg,0,Normal,0,Normal,0.0031051193363964558,0.9968948806636035,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0276.jpg,1,Tumor,1,Tumor,0.9893989562988281,0.9893989562988281,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2872.jpg,1,Tumor,1,Tumor,0.9994848966598511,0.9994848966598511,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2046.jpg,1,Tumor,1,Tumor,0.9958974123001099,0.9958974123001099,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0221.jpg,0,Normal,0,Normal,0.024446845054626465,0.9755531549453735,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3057.jpg,1,Tumor,1,Tumor,0.9993995428085327,0.9993995428085327,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0846.jpg,1,Tumor,1,Tumor,0.9964802861213684,0.9964802861213684,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2789.jpg,0,Normal,0,Normal,0.026468699797987938,0.9735313002020121,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1374.jpg,1,Tumor,1,Tumor,0.9999754428863525,0.9999754428863525,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1956.jpg,0,Normal,0,Normal,0.007037569303065538,0.9929624306969345,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4406.jpg,1,Tumor,1,Tumor,0.9990419745445251,0.9990419745445251,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2002.jpg,0,Normal,0,Normal,0.00026253427495248616,0.9997374657250475,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3113.jpg,0,Normal,0,Normal,4.760332376463339e-05,0.9999523966762354,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4999.jpg,1,Tumor,1,Tumor,0.9998241066932678,0.9998241066932678,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1534.jpg,1,Tumor,1,Tumor,0.9962295889854431,0.9962295889854431,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0574.jpg,0,Normal,0,Normal,9.901118755806237e-05,0.9999009888124419,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4523.jpg,0,Normal,0,Normal,1.1247694601479452e-05,0.9999887523053985,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1815.jpg,1,Tumor,1,Tumor,0.9905679821968079,0.9905679821968079,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0446.jpg,1,Tumor,1,Tumor,0.9999701976776123,0.9999701976776123,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0173.jpg,0,Normal,0,Normal,0.009320850484073162,0.9906791495159268,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1753.jpg,0,Normal,0,Normal,0.0005000052624382079,0.9994999947375618,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0080.jpg,0,Normal,0,Normal,3.510835813358426e-05,0.9999648916418664,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4731.jpg,0,Normal,0,Normal,0.0001377415464958176,0.9998622584535042,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1084.jpg,0,Normal,0,Normal,0.0005869469023309648,0.999413053097669,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2248.jpg,0,Normal,0,Normal,0.0007098665228113532,0.9992901334771886,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1593.jpg,0,Normal,0,Normal,1.5295197954401374e-05,0.9999847048020456,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2535.jpg,1,Tumor,1,Tumor,0.9991922974586487,0.9991922974586487,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0987.jpg,1,Tumor,1,Tumor,0.9983924031257629,0.9983924031257629,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0935.jpg,0,Normal,0,Normal,0.031058354303240776,0.9689416456967592,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4654.jpg,1,Tumor,1,Tumor,0.9993162155151367,0.9993162155151367,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0515.jpg,1,Tumor,1,Tumor,0.9982689619064331,0.9982689619064331,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4468.jpg,0,Normal,0,Normal,0.0001598068920429796,0.999840193107957,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3470.jpg,1,Tumor,1,Tumor,0.9999451637268066,0.9999451637268066,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2673.jpg,0,Normal,0,Normal,0.0004537415807135403,0.9995462584192865,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4021.jpg,1,Tumor,1,Tumor,0.9977350234985352,0.9977350234985352,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3287.jpg,0,Normal,0,Normal,0.0006475034751929343,0.9993524965248071,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0617.jpg,0,Normal,0,Normal,5.683426570612937e-05,0.9999431657342939,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0828.jpg,0,Normal,0,Normal,0.005713714752346277,0.9942862852476537,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1046.jpg,0,Normal,0,Normal,0.03170512616634369,0.9682948738336563,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0913.jpg,0,Normal,0,Normal,0.01401405967772007,0.9859859403222799,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0310.jpg,1,Tumor,1,Tumor,0.9999904632568359,0.9999904632568359,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0167.jpg,0,Normal,0,Normal,0.006426650565117598,0.9935733494348824,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1658.jpg,1,Tumor,1,Tumor,0.9999626874923706,0.9999626874923706,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1252.jpg,0,Normal,0,Normal,2.5121426006080583e-06,0.9999974878573994,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1662.jpg,1,Tumor,1,Tumor,0.9999741315841675,0.9999741315841675,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1726.jpg,0,Normal,0,Normal,0.00117649813182652,0.9988235018681735,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4689.jpg,0,Normal,0,Normal,2.9968472517793998e-05,0.9999700315274822,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4659.jpg,0,Normal,0,Normal,0.0026347145903855562,0.9973652854096144,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3906.jpg,0,Normal,0,Normal,0.02985166758298874,0.9701483324170113,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4955.jpg,0,Normal,0,Normal,0.000166926474776119,0.9998330735252239,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1072.jpg,0,Normal,0,Normal,0.00037427182542160153,0.9996257281745784,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0318.jpg,0,Normal,0,Normal,0.0005328982952050865,0.9994671017047949,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3689.jpg,1,Tumor,1,Tumor,0.9914656281471252,0.9914656281471252,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0184.jpg,1,Tumor,1,Tumor,0.9999731779098511,0.9999731779098511,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1823.jpg,0,Normal,0,Normal,0.0003566678788047284,0.9996433321211953,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2710.jpg,0,Normal,0,Normal,0.0001211217968375422,0.9998788782031625,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0314.jpg,0,Normal,0,Normal,0.000576874241232872,0.9994231257587671,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4050.jpg,0,Normal,0,Normal,0.1053742915391922,0.8946257084608078,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4120.jpg,1,Tumor,1,Tumor,0.9999394416809082,0.9999394416809082,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3396.jpg,0,Normal,0,Normal,0.001333580818027258,0.9986664191819727,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1359.jpg,1,Tumor,1,Tumor,0.9951316118240356,0.9951316118240356,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4183.jpg,1,Tumor,1,Tumor,0.9998030066490173,0.9998030066490173,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1052.jpg,0,Normal,0,Normal,0.00024048436898738146,0.9997595156310126,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2818.jpg,0,Normal,0,Normal,0.00016384420450776815,0.9998361557954922,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1841.jpg,0,Normal,0,Normal,0.00022932430147193372,0.9997706756985281,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0795.jpg,0,Normal,0,Normal,0.0025137341581285,0.9974862658418715,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4995.jpg,0,Normal,0,Normal,6.191767897689715e-05,0.9999380823210231,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2989.jpg,0,Normal,0,Normal,0.000248748721787706,0.9997512512782123,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2267.jpg,1,Tumor,1,Tumor,0.9999607801437378,0.9999607801437378,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3024.jpg,0,Normal,0,Normal,3.342339550727047e-05,0.9999665766044927,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1802.jpg,1,Tumor,1,Tumor,0.9999755620956421,0.9999755620956421,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1950.jpg,0,Normal,0,Normal,0.004944453947246075,0.9950555460527539,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1170.jpg,1,Tumor,1,Tumor,0.9998692274093628,0.9998692274093628,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3922.jpg,0,Normal,0,Normal,0.02063150145113468,0.9793684985488653,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3109.jpg,0,Normal,0,Normal,0.00011811241711257026,0.9998818875828874,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1722.jpg,0,Normal,0,Normal,0.0010868634562939405,0.9989131365437061,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4086.jpg,1,Tumor,1,Tumor,0.9996001124382019,0.9996001124382019,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0703.jpg,1,Tumor,1,Tumor,0.9665645956993103,0.9665645956993103,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1048.jpg,1,Tumor,1,Tumor,0.9888792037963867,0.9888792037963867,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4050.jpg,1,Tumor,1,Tumor,0.9996091723442078,0.9996091723442078,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3680.jpg,1,Tumor,1,Tumor,0.914606511592865,0.914606511592865,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0225.jpg,1,Tumor,1,Tumor,0.9999642372131348,0.9999642372131348,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2157.jpg,1,Tumor,1,Tumor,0.9997465014457703,0.9997465014457703,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1149.jpg,0,Normal,0,Normal,0.00024106402997858822,0.9997589359700214,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2897.jpg,1,Tumor,1,Tumor,0.9996695518493652,0.9996695518493652,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0598.jpg,1,Tumor,1,Tumor,0.9998351335525513,0.9998351335525513,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3483.jpg,0,Normal,0,Normal,0.00434919074177742,0.9956508092582226,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2113.jpg,1,Tumor,1,Tumor,0.9986692667007446,0.9986692667007446,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0327.jpg,1,Tumor,1,Tumor,0.9997226595878601,0.9997226595878601,correct
